All accuracies:

File                                    Accuracy  

pred_german_12500_exp4_res39.txt        72.10     
pred_german_12500_exp4_res91.txt        74.60     
pred_german_12500_exp4_res25.txt        73.70     
pred_german_12500_exp4_res93.txt        69.50     
pred_german_12500_exp4_res20.txt        72.80     
pred_german_12500_exp4_res59.txt        68.60     
pred_german_12500_exp4_res74.txt        69.90     
pred_german_12500_exp4_res77.txt        71.40     
pred_german_12500_exp4_res99.txt        74.70     
pred_german_12500_exp4_res22.txt        70.10     
pred_german_12500_exp4_res71.txt        69.50     
pred_german_12500_exp4_res57.txt        69.50     
pred_german_12500_exp4_res65.txt        70.90     
pred_german_12500_exp4_res3.txt         67.80     
pred_german_12500_exp4_res18.txt        70.10     
pred_german_12500_exp4_res24.txt        71.90     
pred_german_12500_exp4_res64.txt        70.40     
pred_german_12500_exp4_res21.txt        72.50     
pred_german_12500_exp4_res81.txt        70.90     
pred_german_12500_exp4_res40.txt        72.40     
pred_german_12500_exp4_res89.txt        71.50     
pred_german_12500_exp4_res23.txt        72.90     
pred_german_12500_exp4_res87.txt        69.30     
pred_german_12500_exp4_res51.txt        68.60     
pred_german_12500_exp4_res73.txt        72.20     
pred_german_12500_exp4_res1.txt         70.10     
pred_german_12500_exp4_res11.txt        75.00     
pred_german_12500_exp4_res10.txt        72.60     
pred_german_12500_exp4_res19.txt        72.00     
pred_german_12500_exp4_res17.txt        71.20     
pred_german_12500_exp4_res61.txt        72.80     
pred_german_12500_exp4_res98.txt        71.50     
pred_german_12500_exp4_res45.txt        73.20     
pred_german_12500_exp4_res31.txt        73.80     
pred_german_12500_exp4_res75.txt        71.80     
pred_german_12500_exp4_res52.txt        73.50     
pred_german_12500_exp4_res5.txt         73.10     
pred_german_12500_exp4_res72.txt        73.10     
pred_german_12500_exp4_res8.txt         73.20     
pred_german_12500_exp4_res12.txt        72.60     
pred_german_12500_exp4_res4.txt         73.20     
pred_german_12500_exp4_res53.txt        70.90     
pred_german_12500_exp4_res15.txt        72.50     
pred_german_12500_exp4_res83.txt        70.30     
pred_german_12500_exp4_res60.txt        72.70     
pred_german_12500_exp4_res35.txt        71.10     
pred_german_12500_exp4_res9.txt         72.50     
pred_german_12500_exp4_res26.txt        69.60     
pred_german_12500_exp4_res70.txt        73.60     
pred_german_12500_exp4_res69.txt        74.20     
pred_german_12500_exp4_res46.txt        70.50     
pred_german_12500_exp4_res54.txt        74.20     
pred_german_12500_exp4_res30.txt        72.10     
pred_german_12500_exp4_res100.txt       70.00     
pred_german_12500_exp4_res48.txt        71.50     
pred_german_12500_exp4_res84.txt        71.50     
pred_german_12500_exp4_res86.txt        73.90     
pred_german_12500_exp4_res50.txt        70.90     
pred_german_12500_exp4_res16.txt        71.20     
pred_german_12500_exp4_res63.txt        72.90     
pred_german_12500_exp4_res55.txt        68.10     
pred_german_12500_exp4_res44.txt        71.70     
pred_german_12500_exp4_res88.txt        70.00     
pred_german_12500_exp4_res82.txt        71.10     
pred_german_12500_exp4_res33.txt        73.30     
pred_german_12500_exp4_res38.txt        74.80     
pred_german_12500_exp4_res80.txt        72.40     
pred_german_12500_exp4_res7.txt         74.20     
pred_german_12500_exp4_res32.txt        68.90     
pred_german_12500_exp4_res49.txt        71.00     
pred_german_12500_exp4_res27.txt        70.90     
pred_german_12500_exp4_res43.txt        73.20     
pred_german_12500_exp4_res90.txt        73.80     
pred_german_12500_exp4_res78.txt        70.60     
pred_german_12500_exp4_res85.txt        72.70     
pred_german_12500_exp4_res62.txt        70.90     
pred_german_12500_exp4_res96.txt        73.70     
pred_german_12500_exp4_res29.txt        69.40     
pred_german_12500_exp4_res34.txt        72.50     
pred_german_12500_exp4_res36.txt        71.70     
pred_german_12500_exp4_res76.txt        74.70     
pred_german_12500_exp4_res6.txt         74.20     
pred_german_12500_exp4_res67.txt        69.70     
pred_german_12500_exp4_res95.txt        73.10     
pred_german_12500_exp4_res13.txt        70.00     
pred_german_12500_exp4_res94.txt        72.50     
pred_german_12500_exp4_res66.txt        70.70     
pred_german_12500_exp4_res42.txt        73.70     
pred_german_12500_exp4_res47.txt        72.20     
pred_german_12500_exp4_res14.txt        72.50     
pred_german_12500_exp4_res56.txt        73.50     
pred_german_12500_exp4_res92.txt        71.90     
pred_german_12500_exp4_res41.txt        73.20     
german_exp4_weighted_voted.txt          80.70     
pred_german_12500_exp4_res2.txt         72.50     
german_exp4_voted.txt                   80.40     
pred_german_12500_exp4_res28.txt        72.60     
pred_german_12500_exp4_res79.txt        73.40     
pred_german_12500_exp4_res68.txt        69.10     
pred_german_12500_exp4_res58.txt        73.00     
pred_german_12500_exp4_res37.txt        73.80     
pred_german_12500_exp4_res97.txt        72.00     

Average accuracy of s1-s100 models:     71.90                                   
