All accuracies:

File                                    Accuracy  

pred_hindi_12500_exp4_res73.txt         89.40     
pred_hindi_12500_exp4_res38.txt         85.60     
pred_hindi_12500_exp4_res53.txt         94.30     
pred_hindi_12500_exp4_res87.txt         94.80     
pred_hindi_12500_exp4_res30.txt         91.60     
pred_hindi_12500_exp4_res13.txt         90.10     
pred_hindi_12500_exp4_res100.txt        92.90     
pred_hindi_12500_exp4_res88.txt         94.10     
pred_hindi_12500_exp4_res6.txt          93.60     
pred_hindi_12500_exp4_res71.txt         96.30     
pred_hindi_12500_exp4_res47.txt         94.70     
pred_hindi_12500_exp4_res78.txt         89.70     
pred_hindi_12500_exp4_res29.txt         90.70     
pred_hindi_12500_exp4_res11.txt         95.70     
pred_hindi_12500_exp4_res74.txt         94.80     
pred_hindi_12500_exp4_res14.txt         92.50     
hindi_exp4_weighted_voted.txt           97.60     
pred_hindi_12500_exp4_res76.txt         90.40     
pred_hindi_12500_exp4_res16.txt         94.90     
pred_hindi_12500_exp4_res36.txt         93.00     
pred_hindi_12500_exp4_res68.txt         92.60     
pred_hindi_12500_exp4_res40.txt         92.70     
pred_hindi_12500_exp4_res9.txt          90.30     
pred_hindi_12500_exp4_res97.txt         95.60     
pred_hindi_12500_exp4_res31.txt         91.40     
pred_hindi_12500_exp4_res3.txt          94.20     
pred_hindi_12500_exp4_res41.txt         94.40     
pred_hindi_12500_exp4_res72.txt         93.60     
pred_hindi_12500_exp4_res25.txt         90.30     
pred_hindi_12500_exp4_res64.txt         93.30     
pred_hindi_12500_exp4_res32.txt         93.60     
pred_hindi_12500_exp4_res63.txt         91.20     
pred_hindi_12500_exp4_res50.txt         91.50     
pred_hindi_12500_exp4_res54.txt         89.30     
pred_hindi_12500_exp4_res60.txt         89.40     
pred_hindi_12500_exp4_res48.txt         93.60     
pred_hindi_12500_exp4_res5.txt          92.90     
pred_hindi_12500_exp4_res44.txt         92.40     
pred_hindi_12500_exp4_res24.txt         92.20     
pred_hindi_12500_exp4_res61.txt         91.30     
pred_hindi_12500_exp4_res79.txt         90.70     
pred_hindi_12500_exp4_res42.txt         94.80     
pred_hindi_12500_exp4_res39.txt         93.90     
pred_hindi_12500_exp4_res46.txt         91.40     
pred_hindi_12500_exp4_res22.txt         94.50     
pred_hindi_12500_exp4_res15.txt         87.80     
pred_hindi_12500_exp4_res82.txt         91.60     
pred_hindi_12500_exp4_res85.txt         94.40     
pred_hindi_12500_exp4_res51.txt         95.30     
pred_hindi_12500_exp4_res93.txt         91.80     
pred_hindi_12500_exp4_res84.txt         91.50     
pred_hindi_12500_exp4_res4.txt          92.30     
pred_hindi_12500_exp4_res58.txt         91.90     
pred_hindi_12500_exp4_res20.txt         94.50     
pred_hindi_12500_exp4_res26.txt         91.60     
pred_hindi_12500_exp4_res28.txt         92.80     
pred_hindi_12500_exp4_res77.txt         93.10     
pred_hindi_12500_exp4_res90.txt         93.20     
pred_hindi_12500_exp4_res92.txt         93.60     
pred_hindi_12500_exp4_res81.txt         89.90     
pred_hindi_12500_exp4_res49.txt         91.60     
pred_hindi_12500_exp4_res55.txt         92.60     
pred_hindi_12500_exp4_res34.txt         87.70     
pred_hindi_12500_exp4_res69.txt         93.80     
pred_hindi_12500_exp4_res67.txt         94.70     
hindi_exp4_voted.txt                    97.60     
pred_hindi_12500_exp4_res91.txt         92.60     
pred_hindi_12500_exp4_res57.txt         90.30     
pred_hindi_12500_exp4_res99.txt         90.80     
pred_hindi_12500_exp4_res35.txt         93.40     
pred_hindi_12500_exp4_res1.txt          95.50     
pred_hindi_12500_exp4_res52.txt         88.80     
pred_hindi_12500_exp4_res23.txt         93.00     
pred_hindi_12500_exp4_res33.txt         95.20     
pred_hindi_12500_exp4_res18.txt         93.70     
pred_hindi_12500_exp4_res43.txt         93.90     
pred_hindi_12500_exp4_res89.txt         94.00     
pred_hindi_12500_exp4_res70.txt         95.00     
pred_hindi_12500_exp4_res80.txt         94.10     
pred_hindi_12500_exp4_res37.txt         92.30     
pred_hindi_12500_exp4_res10.txt         93.40     
pred_hindi_12500_exp4_res94.txt         93.40     
pred_hindi_12500_exp4_res8.txt          93.40     
pred_hindi_12500_exp4_res27.txt         94.10     
pred_hindi_12500_exp4_res62.txt         93.10     
pred_hindi_12500_exp4_res96.txt         92.90     
pred_hindi_12500_exp4_res17.txt         88.50     
pred_hindi_12500_exp4_res95.txt         92.30     
pred_hindi_12500_exp4_res86.txt         89.60     
pred_hindi_12500_exp4_res59.txt         95.40     
pred_hindi_12500_exp4_res65.txt         92.10     
pred_hindi_12500_exp4_res19.txt         90.30     
pred_hindi_12500_exp4_res2.txt          93.50     
pred_hindi_12500_exp4_res98.txt         91.20     
pred_hindi_12500_exp4_res56.txt         90.00     
pred_hindi_12500_exp4_res66.txt         93.00     
pred_hindi_12500_exp4_res75.txt         94.40     
pred_hindi_12500_exp4_res45.txt         91.70     
pred_hindi_12500_exp4_res12.txt         94.20     
pred_hindi_12500_exp4_res83.txt         93.70     
pred_hindi_12500_exp4_res7.txt          90.80     
pred_hindi_12500_exp4_res21.txt         94.70     

Average accuracy of s1-s100 models:     92.54                                   
