All accuracies:

File                                    Accuracy  

pred_navajo_12500_exp4_res9.txt         29.60     
pred_navajo_12500_exp4_res50.txt        28.40     
navajo_exp4_voted.txt                   47.40     
pred_navajo_12500_exp4_res70.txt        33.00     
pred_navajo_12500_exp4_res6.txt         30.90     
pred_navajo_12500_exp4_res21.txt        33.30     
pred_navajo_12500_exp4_res41.txt        30.70     
pred_navajo_12500_exp4_res81.txt        32.60     
pred_navajo_12500_exp4_res8.txt         28.80     
pred_navajo_12500_exp4_res19.txt        30.60     
pred_navajo_12500_exp4_res39.txt        31.20     
pred_navajo_12500_exp4_res33.txt        33.10     
pred_navajo_12500_exp4_res31.txt        29.20     
pred_navajo_12500_exp4_res13.txt        31.80     
pred_navajo_12500_exp4_res49.txt        32.60     
pred_navajo_12500_exp4_res3.txt         31.80     
pred_navajo_12500_exp4_res15.txt        31.90     
pred_navajo_12500_exp4_res22.txt        27.40     
pred_navajo_12500_exp4_res75.txt        28.80     
pred_navajo_12500_exp4_res32.txt        28.70     
pred_navajo_12500_exp4_res1.txt         31.10     
pred_navajo_12500_exp4_res17.txt        29.70     
pred_navajo_12500_exp4_res71.txt        31.80     
pred_navajo_12500_exp4_res84.txt        34.20     
pred_navajo_12500_exp4_res43.txt        32.60     
pred_navajo_12500_exp4_res98.txt        28.90     
pred_navajo_12500_exp4_res37.txt        35.00     
pred_navajo_12500_exp4_res20.txt        28.30     
pred_navajo_12500_exp4_res47.txt        31.10     
pred_navajo_12500_exp4_res89.txt        29.30     
navajo_exp4_weighted_voted.txt          47.50     
pred_navajo_12500_exp4_res66.txt        32.30     
pred_navajo_12500_exp4_res53.txt        31.80     
pred_navajo_12500_exp4_res40.txt        32.20     
pred_navajo_12500_exp4_res62.txt        32.50     
pred_navajo_12500_exp4_res60.txt        31.40     
pred_navajo_12500_exp4_res55.txt        29.90     
pred_navajo_12500_exp4_res87.txt        31.60     
pred_navajo_12500_exp4_res86.txt        30.20     
pred_navajo_12500_exp4_res59.txt        31.50     
pred_navajo_12500_exp4_res77.txt        30.10     
pred_navajo_12500_exp4_res61.txt        33.70     
pred_navajo_12500_exp4_res73.txt        31.40     
pred_navajo_12500_exp4_res80.txt        32.20     
pred_navajo_12500_exp4_res91.txt        30.10     
pred_navajo_12500_exp4_res38.txt        29.20     
pred_navajo_12500_exp4_res69.txt        31.10     
pred_navajo_12500_exp4_res100.txt       31.70     
pred_navajo_12500_exp4_res48.txt        32.00     
pred_navajo_12500_exp4_res51.txt        31.60     
pred_navajo_12500_exp4_res92.txt        27.70     
pred_navajo_12500_exp4_res36.txt        31.10     
pred_navajo_12500_exp4_res64.txt        33.10     
pred_navajo_12500_exp4_res2.txt         33.50     
pred_navajo_12500_exp4_res58.txt        30.70     
pred_navajo_12500_exp4_res7.txt         29.90     
pred_navajo_12500_exp4_res30.txt        30.60     
pred_navajo_12500_exp4_res63.txt        33.70     
pred_navajo_12500_exp4_res97.txt        30.70     
pred_navajo_12500_exp4_res14.txt        33.90     
pred_navajo_12500_exp4_res28.txt        28.40     
pred_navajo_12500_exp4_res18.txt        28.60     
pred_navajo_12500_exp4_res74.txt        30.10     
pred_navajo_12500_exp4_res95.txt        32.70     
pred_navajo_12500_exp4_res45.txt        31.40     
pred_navajo_12500_exp4_res68.txt        34.10     
pred_navajo_12500_exp4_res57.txt        34.00     
pred_navajo_12500_exp4_res65.txt        31.00     
pred_navajo_12500_exp4_res46.txt        29.90     
pred_navajo_12500_exp4_res11.txt        32.60     
pred_navajo_12500_exp4_res72.txt        32.40     
pred_navajo_12500_exp4_res34.txt        33.00     
pred_navajo_12500_exp4_res24.txt        29.40     
pred_navajo_12500_exp4_res67.txt        31.00     
pred_navajo_12500_exp4_res88.txt        31.20     
pred_navajo_12500_exp4_res29.txt        32.60     
pred_navajo_12500_exp4_res26.txt        30.10     
pred_navajo_12500_exp4_res54.txt        30.80     
pred_navajo_12500_exp4_res16.txt        31.60     
pred_navajo_12500_exp4_res82.txt        34.10     
pred_navajo_12500_exp4_res27.txt        33.10     
pred_navajo_12500_exp4_res35.txt        28.40     
pred_navajo_12500_exp4_res25.txt        28.90     
pred_navajo_12500_exp4_res79.txt        28.30     
pred_navajo_12500_exp4_res10.txt        33.50     
pred_navajo_12500_exp4_res12.txt        32.10     
pred_navajo_12500_exp4_res96.txt        30.70     
pred_navajo_12500_exp4_res78.txt        28.40     
pred_navajo_12500_exp4_res4.txt         32.20     
pred_navajo_12500_exp4_res52.txt        26.80     
pred_navajo_12500_exp4_res42.txt        30.70     
pred_navajo_12500_exp4_res76.txt        31.50     
pred_navajo_12500_exp4_res44.txt        30.20     
pred_navajo_12500_exp4_res93.txt        30.30     
pred_navajo_12500_exp4_res5.txt         34.80     
pred_navajo_12500_exp4_res23.txt        30.40     
pred_navajo_12500_exp4_res85.txt        31.60     
pred_navajo_12500_exp4_res56.txt        28.40     
pred_navajo_12500_exp4_res90.txt        31.20     
pred_navajo_12500_exp4_res94.txt        29.60     
pred_navajo_12500_exp4_res83.txt        30.20     
pred_navajo_12500_exp4_res99.txt        33.40     

Average accuracy of s1-s100 models:     31.11                                   
