All accuracies:

File                                    Accuracy  

pred_russian_12500_exp4_res1.txt        65.00     
pred_russian_12500_exp4_res39.txt       64.10     
pred_russian_12500_exp4_res28.txt       65.60     
pred_russian_12500_exp4_res79.txt       65.70     
pred_russian_12500_exp4_res65.txt       63.40     
pred_russian_12500_exp4_res31.txt       66.40     
pred_russian_12500_exp4_res8.txt        67.40     
pred_russian_12500_exp4_res88.txt       68.30     
pred_russian_12500_exp4_res50.txt       61.00     
pred_russian_12500_exp4_res2.txt        60.90     
pred_russian_12500_exp4_res48.txt       65.80     
pred_russian_12500_exp4_res91.txt       61.80     
pred_russian_12500_exp4_res86.txt       59.30     
pred_russian_12500_exp4_res15.txt       65.80     
pred_russian_12500_exp4_res76.txt       59.40     
pred_russian_12500_exp4_res41.txt       69.40     
pred_russian_12500_exp4_res29.txt       64.10     
pred_russian_12500_exp4_res36.txt       67.60     
pred_russian_12500_exp4_res25.txt       62.10     
pred_russian_12500_exp4_res26.txt       64.90     
pred_russian_12500_exp4_res83.txt       60.90     
russian_exp4_voted.txt                  76.70     
pred_russian_12500_exp4_res78.txt       59.40     
pred_russian_12500_exp4_res89.txt       65.80     
pred_russian_12500_exp4_res40.txt       66.90     
pred_russian_12500_exp4_res64.txt       59.80     
pred_russian_12500_exp4_res14.txt       63.50     
pred_russian_12500_exp4_res90.txt       63.30     
pred_russian_12500_exp4_res63.txt       61.50     
pred_russian_12500_exp4_res33.txt       63.00     
pred_russian_12500_exp4_res10.txt       61.90     
pred_russian_12500_exp4_res98.txt       65.50     
pred_russian_12500_exp4_res4.txt        66.30     
pred_russian_12500_exp4_res70.txt       62.90     
pred_russian_12500_exp4_res51.txt       65.50     
pred_russian_12500_exp4_res18.txt       62.90     
pred_russian_12500_exp4_res60.txt       68.60     
pred_russian_12500_exp4_res30.txt       65.10     
pred_russian_12500_exp4_res17.txt       64.10     
pred_russian_12500_exp4_res95.txt       64.80     
pred_russian_12500_exp4_res77.txt       61.60     
pred_russian_12500_exp4_res12.txt       65.30     
pred_russian_12500_exp4_res47.txt       62.90     
pred_russian_12500_exp4_res43.txt       62.40     
pred_russian_12500_exp4_res42.txt       61.10     
pred_russian_12500_exp4_res92.txt       67.40     
pred_russian_12500_exp4_res52.txt       63.30     
pred_russian_12500_exp4_res44.txt       65.70     
pred_russian_12500_exp4_res67.txt       62.20     
pred_russian_12500_exp4_res35.txt       64.80     
pred_russian_12500_exp4_res69.txt       65.50     
pred_russian_12500_exp4_res24.txt       64.00     
pred_russian_12500_exp4_res54.txt       61.50     
pred_russian_12500_exp4_res82.txt       69.20     
pred_russian_12500_exp4_res32.txt       63.10     
pred_russian_12500_exp4_res61.txt       64.40     
pred_russian_12500_exp4_res97.txt       62.60     
pred_russian_12500_exp4_res87.txt       62.00     
pred_russian_12500_exp4_res22.txt       57.60     
russian_exp4_weighted_voted.txt         76.80     
pred_russian_12500_exp4_res85.txt       63.10     
pred_russian_12500_exp4_res75.txt       63.50     
pred_russian_12500_exp4_res53.txt       63.60     
pred_russian_12500_exp4_res93.txt       61.70     
pred_russian_12500_exp4_res49.txt       64.50     
pred_russian_12500_exp4_res23.txt       62.30     
pred_russian_12500_exp4_res62.txt       63.20     
pred_russian_12500_exp4_res45.txt       64.10     
pred_russian_12500_exp4_res21.txt       67.20     
pred_russian_12500_exp4_res16.txt       64.70     
pred_russian_12500_exp4_res81.txt       63.20     
pred_russian_12500_exp4_res71.txt       67.60     
pred_russian_12500_exp4_res7.txt        62.90     
pred_russian_12500_exp4_res46.txt       66.80     
pred_russian_12500_exp4_res100.txt      65.40     
pred_russian_12500_exp4_res74.txt       67.80     
pred_russian_12500_exp4_res6.txt        52.90     
pred_russian_12500_exp4_res13.txt       62.60     
pred_russian_12500_exp4_res96.txt       66.00     
pred_russian_12500_exp4_res94.txt       65.40     
pred_russian_12500_exp4_res72.txt       67.80     
pred_russian_12500_exp4_res3.txt        60.70     
pred_russian_12500_exp4_res68.txt       63.40     
pred_russian_12500_exp4_res84.txt       62.50     
pred_russian_12500_exp4_res59.txt       64.20     
pred_russian_12500_exp4_res9.txt        61.60     
pred_russian_12500_exp4_res11.txt       61.90     
pred_russian_12500_exp4_res34.txt       65.00     
pred_russian_12500_exp4_res27.txt       62.20     
pred_russian_12500_exp4_res20.txt       62.90     
pred_russian_12500_exp4_res99.txt       63.40     
pred_russian_12500_exp4_res57.txt       61.80     
pred_russian_12500_exp4_res56.txt       65.80     
pred_russian_12500_exp4_res37.txt       66.20     
pred_russian_12500_exp4_res38.txt       64.20     
pred_russian_12500_exp4_res19.txt       64.50     
pred_russian_12500_exp4_res73.txt       62.70     
pred_russian_12500_exp4_res80.txt       63.70     
pred_russian_12500_exp4_res66.txt       65.50     
pred_russian_12500_exp4_res5.txt        63.70     
pred_russian_12500_exp4_res55.txt       65.40     
pred_russian_12500_exp4_res58.txt       60.40     

Average accuracy of s1-s100 models:     63.84                                   
