All accuracies:

File                                    Accuracy  

pred_finnish_12500_exp8_res62.txt       62.80     
pred_finnish_12500_exp8_res50.txt       57.70     
pred_finnish_12500_exp8_res80.txt       56.30     
pred_finnish_12500_exp8_res11.txt       55.10     
pred_finnish_12500_exp8_res67.txt       52.60     
pred_finnish_12500_exp8_res37.txt       54.00     
pred_finnish_12500_exp8_res53.txt       57.00     
pred_finnish_12500_exp8_res16.txt       55.30     
pred_finnish_12500_exp8_res10.txt       57.30     
pred_finnish_12500_exp8_res22.txt       50.70     
pred_finnish_12500_exp8_res94.txt       55.50     
pred_finnish_12500_exp8_res91.txt       51.30     
pred_finnish_12500_exp8_res70.txt       63.60     
pred_finnish_12500_exp8_res23.txt       55.50     
pred_finnish_12500_exp8_res65.txt       52.20     
pred_finnish_12500_exp8_res26.txt       50.00     
pred_finnish_12500_exp8_res79.txt       55.40     
pred_finnish_12500_exp8_res38.txt       63.10     
pred_finnish_12500_exp8_res28.txt       54.20     
pred_finnish_12500_exp8_res52.txt       52.40     
pred_finnish_12500_exp8_res4.txt        57.30     
pred_finnish_12500_exp8_res84.txt       57.00     
pred_finnish_12500_exp8_res20.txt       51.00     
pred_finnish_12500_exp8_res68.txt       55.90     
pred_finnish_12500_exp8_res54.txt       57.30     
pred_finnish_12500_exp8_res92.txt       55.40     
pred_finnish_12500_exp8_res13.txt       56.70     
pred_finnish_12500_exp8_res87.txt       57.70     
pred_finnish_12500_exp8_res2.txt        58.20     
pred_finnish_12500_exp8_res14.txt       57.50     
pred_finnish_12500_exp8_res99.txt       52.20     
pred_finnish_12500_exp8_res47.txt       58.30     
pred_finnish_12500_exp8_res31.txt       56.80     
pred_finnish_12500_exp8_res21.txt       58.80     
pred_finnish_12500_exp8_res49.txt       61.10     
pred_finnish_12500_exp8_res48.txt       64.40     
pred_finnish_12500_exp8_res74.txt       52.80     
pred_finnish_12500_exp8_res76.txt       54.30     
pred_finnish_12500_exp8_res36.txt       60.60     
pred_finnish_12500_exp8_res25.txt       55.20     
pred_finnish_12500_exp8_res42.txt       53.00     
pred_finnish_12500_exp8_res86.txt       58.40     
pred_finnish_12500_exp8_res56.txt       51.50     
pred_finnish_12500_exp8_res40.txt       53.60     
pred_finnish_12500_exp8_res7.txt        54.20     
finnish_exp8_weighted_voted.txt         75.20     
pred_finnish_12500_exp8_res57.txt       59.70     
pred_finnish_12500_exp8_res45.txt       56.00     
pred_finnish_12500_exp8_res78.txt       53.80     
pred_finnish_12500_exp8_res24.txt       58.10     
pred_finnish_12500_exp8_res73.txt       56.30     
pred_finnish_12500_exp8_res89.txt       52.40     
pred_finnish_12500_exp8_res60.txt       62.30     
pred_finnish_12500_exp8_res41.txt       54.80     
pred_finnish_12500_exp8_res15.txt       56.90     
finnish_exp8_voted.txt                  75.10     
pred_finnish_12500_exp8_res61.txt       59.10     
pred_finnish_12500_exp8_res100.txt      55.00     
pred_finnish_12500_exp8_res46.txt       54.80     
pred_finnish_12500_exp8_res30.txt       58.80     
pred_finnish_12500_exp8_res44.txt       58.10     
pred_finnish_12500_exp8_res66.txt       59.90     
pred_finnish_12500_exp8_res51.txt       56.70     
pred_finnish_12500_exp8_res69.txt       58.00     
pred_finnish_12500_exp8_res32.txt       59.00     
pred_finnish_12500_exp8_res29.txt       62.20     
pred_finnish_12500_exp8_res72.txt       56.30     
pred_finnish_12500_exp8_res77.txt       52.40     
pred_finnish_12500_exp8_res81.txt       56.40     
pred_finnish_12500_exp8_res35.txt       49.90     
pred_finnish_12500_exp8_res59.txt       51.00     
pred_finnish_12500_exp8_res98.txt       61.40     
pred_finnish_12500_exp8_res18.txt       53.60     
pred_finnish_12500_exp8_res90.txt       52.80     
pred_finnish_12500_exp8_res1.txt        65.80     
pred_finnish_12500_exp8_res33.txt       55.10     
pred_finnish_12500_exp8_res95.txt       59.80     
pred_finnish_12500_exp8_res63.txt       56.80     
pred_finnish_12500_exp8_res9.txt        53.30     
pred_finnish_12500_exp8_res12.txt       59.00     
pred_finnish_12500_exp8_res88.txt       60.50     
pred_finnish_12500_exp8_res3.txt        55.30     
pred_finnish_12500_exp8_res43.txt       57.00     
pred_finnish_12500_exp8_res93.txt       54.30     
pred_finnish_12500_exp8_res83.txt       62.30     
pred_finnish_12500_exp8_res17.txt       62.50     
pred_finnish_12500_exp8_res39.txt       56.20     
pred_finnish_12500_exp8_res8.txt        58.30     
pred_finnish_12500_exp8_res5.txt        56.20     
pred_finnish_12500_exp8_res96.txt       62.20     
pred_finnish_12500_exp8_res75.txt       55.50     
pred_finnish_12500_exp8_res34.txt       53.50     
pred_finnish_12500_exp8_res58.txt       57.50     
pred_finnish_12500_exp8_res55.txt       65.10     
pred_finnish_12500_exp8_res82.txt       55.00     
pred_finnish_12500_exp8_res6.txt        59.20     
pred_finnish_12500_exp8_res97.txt       55.80     
pred_finnish_12500_exp8_res27.txt       61.90     
pred_finnish_12500_exp8_res64.txt       63.40     
pred_finnish_12500_exp8_res85.txt       58.00     
pred_finnish_12500_exp8_res71.txt       57.80     
pred_finnish_12500_exp8_res19.txt       55.00     

Average accuracy of s1-s100 models:     56.79                                   
