All accuracies:

File                                    Accuracy  

pred_khaling_12500_exp8_res24.txt       75.10     
pred_khaling_12500_exp8_res99.txt       47.20     
pred_khaling_12500_exp8_res57.txt       75.70     
pred_khaling_12500_exp8_res23.txt       76.70     
pred_khaling_12500_exp8_res95.txt       74.20     
pred_khaling_12500_exp8_res71.txt       48.90     
pred_khaling_12500_exp8_res45.txt       76.30     
pred_khaling_12500_exp8_res27.txt       70.10     
pred_khaling_12500_exp8_res16.txt       79.10     
pred_khaling_12500_exp8_res82.txt       81.80     
pred_khaling_12500_exp8_res30.txt       76.90     
pred_khaling_12500_exp8_res52.txt       79.60     
pred_khaling_12500_exp8_res50.txt       78.50     
pred_khaling_12500_exp8_res61.txt       78.80     
pred_khaling_12500_exp8_res5.txt        81.30     
pred_khaling_12500_exp8_res64.txt       82.80     
pred_khaling_12500_exp8_res75.txt       76.10     
pred_khaling_12500_exp8_res47.txt       77.00     
pred_khaling_12500_exp8_res86.txt       81.30     
pred_khaling_12500_exp8_res63.txt       48.10     
pred_khaling_12500_exp8_res53.txt       52.60     
pred_khaling_12500_exp8_res40.txt       75.20     
khaling_exp8_voted.txt                  86.40     
pred_khaling_12500_exp8_res98.txt       73.90     
pred_khaling_12500_exp8_res69.txt       55.40     
pred_khaling_12500_exp8_res44.txt       76.10     
pred_khaling_12500_exp8_res84.txt       79.50     
pred_khaling_12500_exp8_res80.txt       78.50     
pred_khaling_12500_exp8_res33.txt       73.80     
pred_khaling_12500_exp8_res87.txt       77.10     
pred_khaling_12500_exp8_res43.txt       51.30     
pred_khaling_12500_exp8_res60.txt       80.50     
pred_khaling_12500_exp8_res70.txt       53.50     
pred_khaling_12500_exp8_res29.txt       77.30     
pred_khaling_12500_exp8_res55.txt       79.30     
pred_khaling_12500_exp8_res7.txt        76.30     
pred_khaling_12500_exp8_res65.txt       70.40     
pred_khaling_12500_exp8_res11.txt       78.60     
pred_khaling_12500_exp8_res68.txt       79.30     
pred_khaling_12500_exp8_res22.txt       77.90     
pred_khaling_12500_exp8_res39.txt       78.50     
pred_khaling_12500_exp8_res91.txt       79.20     
pred_khaling_12500_exp8_res56.txt       77.00     
pred_khaling_12500_exp8_res32.txt       77.90     
pred_khaling_12500_exp8_res92.txt       48.20     
pred_khaling_12500_exp8_res67.txt       75.20     
pred_khaling_12500_exp8_res90.txt       74.50     
pred_khaling_12500_exp8_res28.txt       78.70     
pred_khaling_12500_exp8_res2.txt        52.20     
pred_khaling_12500_exp8_res79.txt       79.70     
pred_khaling_12500_exp8_res59.txt       76.70     
pred_khaling_12500_exp8_res46.txt       74.80     
pred_khaling_12500_exp8_res38.txt       79.10     
pred_khaling_12500_exp8_res31.txt       77.80     
pred_khaling_12500_exp8_res15.txt       75.70     
pred_khaling_12500_exp8_res96.txt       75.70     
pred_khaling_12500_exp8_res66.txt       78.00     
pred_khaling_12500_exp8_res37.txt       80.40     
pred_khaling_12500_exp8_res20.txt       80.60     
pred_khaling_12500_exp8_res25.txt       80.30     
pred_khaling_12500_exp8_res83.txt       51.70     
pred_khaling_12500_exp8_res8.txt        80.10     
pred_khaling_12500_exp8_res81.txt       72.00     
pred_khaling_12500_exp8_res35.txt       78.60     
pred_khaling_12500_exp8_res34.txt       54.40     
pred_khaling_12500_exp8_res76.txt       74.50     
pred_khaling_12500_exp8_res58.txt       76.60     
pred_khaling_12500_exp8_res41.txt       82.10     
pred_khaling_12500_exp8_res13.txt       78.50     
pred_khaling_12500_exp8_res4.txt        73.40     
pred_khaling_12500_exp8_res10.txt       75.80     
pred_khaling_12500_exp8_res26.txt       79.80     
pred_khaling_12500_exp8_res54.txt       75.70     
pred_khaling_12500_exp8_res1.txt        78.50     
pred_khaling_12500_exp8_res14.txt       51.50     
pred_khaling_12500_exp8_res73.txt       77.70     
pred_khaling_12500_exp8_res77.txt       64.10     
pred_khaling_12500_exp8_res89.txt       78.70     
pred_khaling_12500_exp8_res19.txt       80.50     
pred_khaling_12500_exp8_res12.txt       78.70     
pred_khaling_12500_exp8_res100.txt      52.80     
pred_khaling_12500_exp8_res72.txt       76.30     
pred_khaling_12500_exp8_res62.txt       48.60     
pred_khaling_12500_exp8_res51.txt       79.80     
pred_khaling_12500_exp8_res6.txt        75.20     
pred_khaling_12500_exp8_res78.txt       66.40     
pred_khaling_12500_exp8_res48.txt       79.00     
pred_khaling_12500_exp8_res21.txt       72.40     
pred_khaling_12500_exp8_res49.txt       77.70     
pred_khaling_12500_exp8_res36.txt       77.30     
pred_khaling_12500_exp8_res74.txt       78.90     
pred_khaling_12500_exp8_res9.txt        79.40     
pred_khaling_12500_exp8_res94.txt       79.00     
pred_khaling_12500_exp8_res42.txt       73.70     
pred_khaling_12500_exp8_res17.txt       78.40     
pred_khaling_12500_exp8_res18.txt       75.50     
pred_khaling_12500_exp8_res97.txt       49.10     
pred_khaling_12500_exp8_res85.txt       81.10     
pred_khaling_12500_exp8_res3.txt        81.10     
pred_khaling_12500_exp8_res88.txt       73.90     
pred_khaling_12500_exp8_res93.txt       79.00     
khaling_exp8_weighted_voted.txt         86.70     

Average accuracy of s1-s100 models:     73.30                                   
