All accuracies:

File                                    Accuracy  

pred_russian_12500_exp8_res38.txt       67.40     
pred_russian_12500_exp8_res73.txt       65.60     
pred_russian_12500_exp8_res100.txt      63.30     
pred_russian_12500_exp8_res8.txt        62.50     
pred_russian_12500_exp8_res74.txt       65.40     
pred_russian_12500_exp8_res97.txt       63.80     
pred_russian_12500_exp8_res71.txt       63.10     
pred_russian_12500_exp8_res30.txt       67.10     
pred_russian_12500_exp8_res9.txt        65.70     
pred_russian_12500_exp8_res66.txt       66.10     
pred_russian_12500_exp8_res95.txt       64.30     
pred_russian_12500_exp8_res60.txt       66.00     
pred_russian_12500_exp8_res45.txt       65.90     
pred_russian_12500_exp8_res57.txt       63.00     
pred_russian_12500_exp8_res91.txt       66.80     
pred_russian_12500_exp8_res21.txt       64.00     
pred_russian_12500_exp8_res4.txt        69.00     
pred_russian_12500_exp8_res98.txt       66.90     
pred_russian_12500_exp8_res90.txt       59.00     
pred_russian_12500_exp8_res96.txt       64.90     
pred_russian_12500_exp8_res75.txt       63.40     
pred_russian_12500_exp8_res42.txt       61.70     
pred_russian_12500_exp8_res14.txt       66.40     
pred_russian_12500_exp8_res86.txt       63.50     
pred_russian_12500_exp8_res49.txt       62.50     
pred_russian_12500_exp8_res51.txt       63.60     
pred_russian_12500_exp8_res64.txt       66.40     
pred_russian_12500_exp8_res19.txt       65.60     
pred_russian_12500_exp8_res78.txt       64.40     
pred_russian_12500_exp8_res28.txt       61.50     
pred_russian_12500_exp8_res11.txt       62.10     
pred_russian_12500_exp8_res31.txt       62.50     
pred_russian_12500_exp8_res61.txt       61.30     
pred_russian_12500_exp8_res7.txt        63.90     
pred_russian_12500_exp8_res83.txt       61.60     
pred_russian_12500_exp8_res85.txt       58.20     
pred_russian_12500_exp8_res65.txt       67.00     
pred_russian_12500_exp8_res3.txt        64.20     
pred_russian_12500_exp8_res20.txt       63.80     
pred_russian_12500_exp8_res94.txt       66.10     
pred_russian_12500_exp8_res13.txt       67.00     
russian_exp8_weighted_voted.txt         76.90     
pred_russian_12500_exp8_res32.txt       58.30     
pred_russian_12500_exp8_res10.txt       62.90     
pred_russian_12500_exp8_res35.txt       65.30     
pred_russian_12500_exp8_res87.txt       58.90     
pred_russian_12500_exp8_res81.txt       64.90     
pred_russian_12500_exp8_res37.txt       66.20     
pred_russian_12500_exp8_res12.txt       65.90     
pred_russian_12500_exp8_res17.txt       65.00     
pred_russian_12500_exp8_res23.txt       60.40     
pred_russian_12500_exp8_res48.txt       64.90     
pred_russian_12500_exp8_res53.txt       64.00     
russian_exp8_voted.txt                  76.70     
pred_russian_12500_exp8_res79.txt       60.00     
pred_russian_12500_exp8_res77.txt       66.40     
pred_russian_12500_exp8_res63.txt       61.70     
pred_russian_12500_exp8_res6.txt        62.90     
pred_russian_12500_exp8_res39.txt       63.40     
pred_russian_12500_exp8_res16.txt       66.10     
pred_russian_12500_exp8_res50.txt       66.70     
pred_russian_12500_exp8_res2.txt        61.90     
pred_russian_12500_exp8_res59.txt       64.80     
pred_russian_12500_exp8_res69.txt       67.40     
pred_russian_12500_exp8_res62.txt       59.50     
pred_russian_12500_exp8_res36.txt       62.10     
pred_russian_12500_exp8_res88.txt       66.40     
pred_russian_12500_exp8_res22.txt       59.30     
pred_russian_12500_exp8_res46.txt       67.80     
pred_russian_12500_exp8_res80.txt       62.40     
pred_russian_12500_exp8_res93.txt       66.80     
pred_russian_12500_exp8_res5.txt        64.90     
pred_russian_12500_exp8_res1.txt        65.00     
pred_russian_12500_exp8_res76.txt       63.00     
pred_russian_12500_exp8_res82.txt       63.60     
pred_russian_12500_exp8_res41.txt       67.90     
pred_russian_12500_exp8_res24.txt       65.70     
pred_russian_12500_exp8_res18.txt       60.50     
pred_russian_12500_exp8_res15.txt       58.40     
pred_russian_12500_exp8_res44.txt       65.60     
pred_russian_12500_exp8_res58.txt       58.50     
pred_russian_12500_exp8_res84.txt       61.70     
pred_russian_12500_exp8_res89.txt       64.80     
pred_russian_12500_exp8_res92.txt       59.70     
pred_russian_12500_exp8_res67.txt       61.00     
pred_russian_12500_exp8_res54.txt       66.40     
pred_russian_12500_exp8_res40.txt       64.10     
pred_russian_12500_exp8_res56.txt       65.00     
pred_russian_12500_exp8_res68.txt       65.10     
pred_russian_12500_exp8_res33.txt       64.90     
pred_russian_12500_exp8_res34.txt       66.90     
pred_russian_12500_exp8_res26.txt       63.30     
pred_russian_12500_exp8_res72.txt       65.20     
pred_russian_12500_exp8_res27.txt       64.60     
pred_russian_12500_exp8_res29.txt       61.70     
pred_russian_12500_exp8_res47.txt       63.50     
pred_russian_12500_exp8_res25.txt       65.90     
pred_russian_12500_exp8_res55.txt       60.50     
pred_russian_12500_exp8_res70.txt       64.50     
pred_russian_12500_exp8_res99.txt       59.70     
pred_russian_12500_exp8_res52.txt       66.40     
pred_russian_12500_exp8_res43.txt       64.30     

Average accuracy of s1-s100 models:     63.91                                   
