All accuracies:

File                                    Accuracy  

pred_turkish_12500_exp8_res28.txt       77.50     
turkish_exp8_weighted_voted.txt         87.50     
pred_turkish_12500_exp8_res99.txt       76.10     
pred_turkish_12500_exp8_res34.txt       76.50     
pred_turkish_12500_exp8_res36.txt       73.80     
pred_turkish_12500_exp8_res9.txt        76.90     
pred_turkish_12500_exp8_res38.txt       74.80     
pred_turkish_12500_exp8_res39.txt       75.80     
pred_turkish_12500_exp8_res6.txt        73.50     
pred_turkish_12500_exp8_res80.txt       77.30     
pred_turkish_12500_exp8_res15.txt       77.60     
pred_turkish_12500_exp8_res18.txt       72.30     
pred_turkish_12500_exp8_res49.txt       76.20     
pred_turkish_12500_exp8_res59.txt       76.60     
pred_turkish_12500_exp8_res5.txt        76.50     
pred_turkish_12500_exp8_res89.txt       77.10     
pred_turkish_12500_exp8_res56.txt       73.90     
pred_turkish_12500_exp8_res40.txt       75.50     
pred_turkish_12500_exp8_res88.txt       72.80     
turkish_exp8_voted.txt                  87.70     
pred_turkish_12500_exp8_res1.txt        79.60     
pred_turkish_12500_exp8_res61.txt       80.90     
pred_turkish_12500_exp8_res50.txt       75.10     
pred_turkish_12500_exp8_res70.txt       73.60     
pred_turkish_12500_exp8_res64.txt       75.80     
pred_turkish_12500_exp8_res41.txt       77.50     
pred_turkish_12500_exp8_res66.txt       74.90     
pred_turkish_12500_exp8_res62.txt       75.40     
pred_turkish_12500_exp8_res90.txt       75.40     
pred_turkish_12500_exp8_res51.txt       77.40     
pred_turkish_12500_exp8_res25.txt       77.50     
pred_turkish_12500_exp8_res72.txt       78.80     
pred_turkish_12500_exp8_res4.txt        78.20     
pred_turkish_12500_exp8_res20.txt       79.10     
pred_turkish_12500_exp8_res86.txt       75.50     
pred_turkish_12500_exp8_res79.txt       79.80     
pred_turkish_12500_exp8_res22.txt       77.80     
pred_turkish_12500_exp8_res92.txt       74.20     
pred_turkish_12500_exp8_res17.txt       72.80     
pred_turkish_12500_exp8_res44.txt       73.40     
pred_turkish_12500_exp8_res94.txt       76.50     
pred_turkish_12500_exp8_res63.txt       76.60     
pred_turkish_12500_exp8_res29.txt       75.50     
pred_turkish_12500_exp8_res60.txt       79.80     
pred_turkish_12500_exp8_res19.txt       75.20     
pred_turkish_12500_exp8_res12.txt       74.40     
pred_turkish_12500_exp8_res83.txt       77.40     
pred_turkish_12500_exp8_res77.txt       73.20     
pred_turkish_12500_exp8_res37.txt       77.80     
pred_turkish_12500_exp8_res96.txt       77.60     
pred_turkish_12500_exp8_res87.txt       78.70     
pred_turkish_12500_exp8_res78.txt       72.90     
pred_turkish_12500_exp8_res76.txt       78.30     
pred_turkish_12500_exp8_res43.txt       75.80     
pred_turkish_12500_exp8_res53.txt       77.10     
pred_turkish_12500_exp8_res27.txt       75.30     
pred_turkish_12500_exp8_res48.txt       76.10     
pred_turkish_12500_exp8_res3.txt        76.20     
pred_turkish_12500_exp8_res97.txt       72.30     
pred_turkish_12500_exp8_res75.txt       77.90     
pred_turkish_12500_exp8_res35.txt       78.40     
pred_turkish_12500_exp8_res21.txt       75.90     
pred_turkish_12500_exp8_res30.txt       79.00     
pred_turkish_12500_exp8_res67.txt       75.20     
pred_turkish_12500_exp8_res58.txt       76.60     
pred_turkish_12500_exp8_res26.txt       76.00     
pred_turkish_12500_exp8_res7.txt        75.70     
pred_turkish_12500_exp8_res23.txt       77.40     
pred_turkish_12500_exp8_res73.txt       75.20     
pred_turkish_12500_exp8_res81.txt       75.10     
pred_turkish_12500_exp8_res10.txt       76.80     
pred_turkish_12500_exp8_res33.txt       76.30     
pred_turkish_12500_exp8_res69.txt       74.90     
pred_turkish_12500_exp8_res45.txt       75.40     
pred_turkish_12500_exp8_res91.txt       76.90     
pred_turkish_12500_exp8_res100.txt      81.50     
pred_turkish_12500_exp8_res98.txt       76.40     
pred_turkish_12500_exp8_res8.txt        75.50     
pred_turkish_12500_exp8_res84.txt       76.10     
pred_turkish_12500_exp8_res2.txt        73.40     
pred_turkish_12500_exp8_res52.txt       75.70     
pred_turkish_12500_exp8_res47.txt       76.90     
pred_turkish_12500_exp8_res71.txt       80.90     
pred_turkish_12500_exp8_res95.txt       77.20     
pred_turkish_12500_exp8_res11.txt       74.80     
pred_turkish_12500_exp8_res13.txt       77.50     
pred_turkish_12500_exp8_res42.txt       77.60     
pred_turkish_12500_exp8_res14.txt       75.60     
pred_turkish_12500_exp8_res24.txt       77.20     
pred_turkish_12500_exp8_res54.txt       77.50     
pred_turkish_12500_exp8_res16.txt       72.50     
pred_turkish_12500_exp8_res74.txt       75.80     
pred_turkish_12500_exp8_res55.txt       75.70     
pred_turkish_12500_exp8_res57.txt       75.40     
pred_turkish_12500_exp8_res93.txt       78.30     
pred_turkish_12500_exp8_res46.txt       76.30     
pred_turkish_12500_exp8_res32.txt       75.70     
pred_turkish_12500_exp8_res65.txt       75.50     
pred_turkish_12500_exp8_res68.txt       75.50     
pred_turkish_12500_exp8_res82.txt       77.70     
pred_turkish_12500_exp8_res85.txt       74.60     
pred_turkish_12500_exp8_res31.txt       76.10     

Average accuracy of s1-s100 models:     76.26                                   
