All accuracies:

File                                    Accuracy  

pred_arabic_12500_base_medium_s4.txt    76.30     
pred_arabic_12500_base_medium_s2.txt    80.00     
pred_arabic_12500_base_medium_s9.txt    77.60     
pred_arabic_12500_base_medium_s8.txt    77.20     
pred_arabic_12500_base_medium_s10.txt   78.30     
pred_arabic_12500_base_medium_s1.txt    77.10     
arabic_med_base_weighted_voted.txt      84.90     
pred_arabic_12500_base_medium_s5.txt    74.10     
pred_arabic_12500_base_medium_s3.txt    70.20     
arabic_med_base_voted.txt               84.40     
pred_arabic_12500_base_medium_s7.txt    80.50     
pred_arabic_12500_base_medium_s6.txt    78.00     

Average accuracy of s1-s10 models:      76.93                                   
