All accuracies:

File                                    Accuracy  

pred_finnish_12500_base_medium_s8.txt   73.80     
pred_finnish_12500_base_medium_s3.txt   70.70     
pred_finnish_12500_base_medium_s1.txt   74.60     
pred_finnish_12500_base_medium_s10.txt  73.70     
pred_finnish_12500_base_medium_s9.txt   72.50     
pred_finnish_12500_base_medium_s5.txt   73.10     
pred_finnish_12500_base_medium_s2.txt   72.80     
finnish_med_base_voted.txt              81.10     
pred_finnish_12500_base_medium_s6.txt   72.50     
pred_finnish_12500_base_medium_s7.txt   76.00     
pred_finnish_12500_base_medium_s4.txt   73.00     
finnish_med_base_weighted_voted.txt     81.00     

Average accuracy of s1-s10 models:      73.27                                   
