All accuracies:

File                                    Accuracy  

pred_german_12500_base_medium_s5.txt    75.80     
pred_german_12500_base_medium_s10.txt   76.10     
pred_german_12500_base_medium_s9.txt    76.50     
pred_german_12500_base_medium_s1.txt    76.10     
pred_german_12500_base_medium_s3.txt    76.70     
german_med_base_weighted_voted.txt      81.30     
pred_german_12500_base_medium_s4.txt    77.10     
pred_german_12500_base_medium_s7.txt    77.30     
pred_german_12500_base_medium_s2.txt    77.00     
pred_german_12500_base_medium_s6.txt    77.20     
pred_german_12500_base_medium_s8.txt    79.40     
german_med_base_voted.txt               81.20     

Average accuracy of s1-s10 models:      76.92                                   
