All accuracies:

File                                    Accuracy  

pred_italian_12500_base_medium_s8.txt   93.30     
pred_italian_12500_base_medium_s7.txt   91.60     
pred_italian_12500_base_medium_s1.txt   91.90     
italian_med_base_weighted_voted.txt     93.90     
pred_italian_12500_base_medium_s6.txt   90.60     
pred_italian_12500_base_medium_s10.txt  91.70     
pred_italian_12500_base_medium_s5.txt   92.50     
pred_italian_12500_base_medium_s9.txt   92.50     
pred_italian_12500_base_medium_s2.txt   92.00     
pred_italian_12500_base_medium_s3.txt   84.50     
italian_med_base_voted.txt              93.80     
pred_italian_12500_base_medium_s4.txt   90.80     

Average accuracy of s1-s10 models:      91.14                                   
