All accuracies:

File                                    Accuracy  

pred_russian_12500_base_medium_s7.txt   76.00     
pred_russian_12500_base_medium_s10.txt  75.20     
pred_russian_12500_base_medium_s5.txt   74.40     
pred_russian_12500_base_medium_s6.txt   73.50     
pred_russian_12500_base_medium_s1.txt   76.00     
pred_russian_12500_base_medium_s8.txt   74.00     
pred_russian_12500_base_medium_s3.txt   70.30     
russian_med_base_voted.txt              80.60     
pred_russian_12500_base_medium_s4.txt   74.00     
pred_russian_12500_base_medium_s2.txt   73.80     
pred_russian_12500_base_medium_s9.txt   76.10     
russian_med_base_weighted_voted.txt     80.50     

Average accuracy of s1-s10 models:      74.33                                   
