All accuracies:

File                                    Accuracy  

pred_turkish_12500_base_medium_s1.txt   84.70     
pred_turkish_12500_base_medium_s7.txt   84.30     
pred_turkish_12500_base_medium_s5.txt   85.00     
pred_turkish_12500_base_medium_s6.txt   85.80     
pred_turkish_12500_base_medium_s4.txt   84.30     
pred_turkish_12500_base_medium_s9.txt   83.10     
turkish_med_base_voted.txt              89.20     
pred_turkish_12500_base_medium_s3.txt   87.00     
pred_turkish_12500_base_medium_s10.txt  84.80     
pred_turkish_12500_base_medium_s8.txt   84.30     
turkish_med_base_weighted_voted.txt     89.10     
pred_turkish_12500_base_medium_s2.txt   84.00     

Average accuracy of s1-s10 models:      84.73                                   
