All accuracies:

File                                    Accuracy  

pred_khaling_12500_base_medium_s3.txt   90.70     
khaling_med_base_weighted_voted.txt     92.80     
pred_khaling_12500_base_medium_s1.txt   90.50     
pred_khaling_12500_base_medium_s7.txt   89.10     
pred_khaling_12500_base_medium_s9.txt   91.50     
pred_khaling_12500_base_medium_s2.txt   86.80     
pred_khaling_12500_base_medium_s8.txt   90.10     
khaling_med_base_voted.txt              92.30     
pred_khaling_12500_base_medium_s4.txt   89.10     
pred_khaling_12500_base_medium_s6.txt   90.20     
pred_khaling_12500_base_medium_s10.txt  90.60     
pred_khaling_12500_base_medium_s5.txt   91.00     

Average accuracy of s1-s10 models:      89.96                                   
