All accuracies:

File                                    Accuracy  

pred_navajo_12500_base_medium_s6.txt    43.40     
pred_navajo_12500_base_medium_s2.txt    42.20     
pred_navajo_12500_base_medium_s10.txt   42.20     
pred_navajo_12500_base_medium_s5.txt    42.20     
pred_navajo_12500_base_medium_s1.txt    41.40     
pred_navajo_12500_base_medium_s4.txt    43.60     
pred_navajo_12500_base_medium_s7.txt    42.80     
navajo_med_base_weighted_voted.txt      52.30     
pred_navajo_12500_base_medium_s3.txt    44.00     
pred_navajo_12500_base_medium_s8.txt    43.80     
navajo_med_base_voted.txt               51.80     
pred_navajo_12500_base_medium_s9.txt    36.80     

Average accuracy of s1-s10 models:      42.24                                   
