All accuracies:

File                                    Accuracy                                

pred_german_12500_exp2_res20.txt        88.2                                    
pred_german_12500_exp2_res40.txt        86.7                                    
pred_german_12500_exp2_res56.txt        87.5                                    
pred_german_12500_exp2_res61.txt        88.4                                    
pred_german_12500_exp2_res47.txt        88.1                                    
pred_german_12500_exp2_res7.txt         87.3                                    
pred_german_12500_exp2_res83.txt        88.1                                    
pred_german_12500_exp2_res18.txt        87.5                                    
pred_german_12500_exp2_res3.txt         85.7                                    
pred_german_12500_exp2_res69.txt        87.2                                    
pred_german_12500_exp2_res50.txt        87.0                                    
pred_german_12500_exp2_res30.txt        87.0                                    
pred_german_12500_exp2_res35.txt        88.2                                    
pred_german_12500_exp2_res88.txt        87.5                                    
pred_german_12500_exp2_res86.txt        87.4                                    
pred_german_12500_exp2_res66.txt        87.8                                    
pred_german_12500_exp2_res75.txt        86.9                                    
pred_german_12500_exp2_res72.txt        87.9                                    
pred_german_12500_exp2_res33.txt        87.7                                    
pred_german_12500_exp2_res59.txt        87.2                                    
pred_german_12500_exp2_res81.txt        87.3                                    
pred_german_12500_exp2_res80.txt        87.8                                    
pred_german_12500_exp2_res5.txt         87.9                                    
pred_german_12500_exp2_res85.txt        88.0                                    
pred_german_12500_exp2_res67.txt        88.8                                    
pred_german_12500_exp2_res51.txt        89.1                                    
pred_german_12500_exp2_res31.txt        88.2                                    
pred_german_12500_exp2_res36.txt        87.2                                    
pred_german_12500_exp2_res84.txt        87.0                                    
pred_german_12500_exp2_res16.txt        88.4                                    
pred_german_12500_exp2_res82.txt        86.5                                    
pred_german_12500_exp2_res70.txt        87.8                                    
pred_german_12500_exp2_res95.txt        88.0                                    
pred_german_12500_exp2_res87.txt        87.2                                    
pred_german_12500_exp2_res12.txt        87.8                                    
pred_german_12500_exp2_res76.txt        86.7                                    
pred_german_12500_exp2_res79.txt        86.6                                    
pred_german_12500_exp2_res1.txt         86.8                                    
pred_german_12500_exp2_res58.txt        88.5                                    
pred_german_12500_exp2_res89.txt        87.3                                    
pred_german_12500_exp2_res78.txt        85.9                                    
pred_german_12500_exp2_res71.txt        88.8                                    
pred_german_12500_exp2_res53.txt        88.4                                    
pred_german_12500_exp2_res43.txt        89.0                                    
pred_german_12500_exp2_res68.txt        88.7                                    
pred_german_12500_exp2_res19.txt        87.3                                    
pred_german_12500_exp2_res94.txt        88.1                                    
pred_german_12500_exp2_res8.txt         87.7                                    
pred_german_12500_exp2_res29.txt        87.7                                    
pred_german_12500_exp2_res41.txt        86.5                                    
pred_german_12500_exp2_res97.txt        85.8                                    
pred_german_12500_exp2_res23.txt        87.3                                    
pred_german_12500_exp2_res52.txt        88.0                                    
german_exp2_voted.txt                   91.3                                    
pred_german_12500_exp2_res99.txt        86.5                                    
pred_german_12500_exp2_res22.txt        88.9                                    
pred_german_12500_exp2_res11.txt        86.1                                    
pred_german_12500_exp2_res2.txt         87.9                                    
pred_german_12500_exp2_res10.txt        87.3                                    
pred_german_12500_exp2_res26.txt        88.2                                    
pred_german_12500_exp2_res60.txt        87.2                                    
pred_german_12500_exp2_res46.txt        87.8                                    
pred_german_12500_exp2_res15.txt        88.3                                    
pred_german_12500_exp2_res49.txt        88.1                                    
pred_german_12500_exp2_res9.txt         87.6                                    
pred_german_12500_exp2_res45.txt        89.2                                    
pred_german_12500_exp2_res96.txt        88.1                                    
pred_german_12500_exp2_res28.txt        87.2                                    
pred_german_12500_exp2_res73.txt        89.5                                    
pred_german_12500_exp2_res39.txt        86.8                                    
pred_german_12500_exp2_res21.txt        88.3                                    
pred_german_12500_exp2_res17.txt        86.5                                    
pred_german_12500_exp2_res92.txt        87.7                                    
pred_german_12500_exp2_res48.txt        88.0                                    
pred_german_12500_exp2_res13.txt        88.1                                    
pred_german_12500_exp2_res91.txt        87.4                                    
pred_german_12500_exp2_res90.txt        86.8                                    
pred_german_12500_exp2_res37.txt        88.4                                    
pred_german_12500_exp2_res38.txt        87.5                                    
pred_german_12500_exp2_res62.txt        87.8                                    
pred_german_12500_exp2_res34.txt        87.3                                    
pred_german_12500_exp2_res54.txt        87.1                                    
pred_german_12500_exp2_res24.txt        89.0                                    
pred_german_12500_exp2_res100.txt       86.6                                    
pred_german_12500_exp2_res25.txt        86.7                                    
pred_german_12500_exp2_res44.txt        88.1                                    
pred_german_12500_exp2_res4.txt         87.0                                    
pred_german_12500_exp2_res14.txt        89.5                                    
pred_german_12500_exp2_res63.txt        87.5                                    
pred_german_12500_exp2_res32.txt        88.0                                    
pred_german_12500_exp2_res64.txt        87.1                                    
pred_german_12500_exp2_res42.txt        88.7                                    
pred_german_12500_exp2_res98.txt        87.4                                    
pred_german_12500_exp2_res65.txt        88.2                                    
pred_german_12500_exp2_res55.txt        88.1                                    
pred_german_12500_exp2_res6.txt         88.5                                    
pred_german_12500_exp2_res57.txt        85.7                                    
pred_german_12500_exp2_res93.txt        88.7                                    
pred_german_12500_exp2_res27.txt        87.6                                    
pred_german_12500_exp2_res77.txt        86.9                                    
pred_german_12500_exp2_res74.txt        86.8                                    

Average accuracy of s1-s100 models:     87.63100000000003                       
