All accuracies:

File                                    Accuracy  

pred_arabic_12500_exp4_res38.txt        66.80     
pred_arabic_12500_exp4_res81.txt        54.80     
pred_arabic_12500_exp4_res15.txt        55.30     
pred_arabic_12500_exp4_res40.txt        67.80     
pred_arabic_12500_exp4_res10.txt        63.50     
pred_arabic_12500_exp4_res97.txt        64.10     
pred_arabic_12500_exp4_res73.txt        62.80     
pred_arabic_12500_exp4_res39.txt        69.20     
pred_arabic_12500_exp4_res91.txt        51.20     
pred_arabic_12500_exp4_res58.txt        50.70     
pred_arabic_12500_exp4_res71.txt        71.40     
pred_arabic_12500_exp4_res12.txt        67.80     
pred_arabic_12500_exp4_res41.txt        60.70     
pred_arabic_12500_exp4_res80.txt        54.50     
pred_arabic_12500_exp4_res21.txt        71.10     
pred_arabic_12500_exp4_res79.txt        52.60     
pred_arabic_12500_exp4_res22.txt        65.40     
pred_arabic_12500_exp4_res90.txt        68.10     
pred_arabic_12500_exp4_res27.txt        66.70     
pred_arabic_12500_exp4_res67.txt        67.40     
pred_arabic_12500_exp4_res69.txt        58.10     
pred_arabic_12500_exp4_res8.txt         54.00     
pred_arabic_12500_exp4_res60.txt        66.00     
pred_arabic_12500_exp4_res24.txt        65.50     
pred_arabic_12500_exp4_res35.txt        66.00     
pred_arabic_12500_exp4_res77.txt        57.30     
pred_arabic_12500_exp4_res94.txt        68.20     
pred_arabic_12500_exp4_res13.txt        64.20     
pred_arabic_12500_exp4_res48.txt        66.90     
pred_arabic_12500_exp4_res55.txt        68.70     
pred_arabic_12500_exp4_res99.txt        59.50     
pred_arabic_12500_exp4_res68.txt        65.30     
pred_arabic_12500_exp4_res3.txt         65.50     
pred_arabic_12500_exp4_res93.txt        66.20     
pred_arabic_12500_exp4_res95.txt        68.30     
pred_arabic_12500_exp4_res62.txt        63.00     
pred_arabic_12500_exp4_res36.txt        64.80     
pred_arabic_12500_exp4_res25.txt        59.40     
pred_arabic_12500_exp4_res92.txt        64.10     
pred_arabic_12500_exp4_res23.txt        69.30     
pred_arabic_12500_exp4_res9.txt         67.80     
pred_arabic_12500_exp4_res34.txt        72.00     
pred_arabic_12500_exp4_res29.txt        69.20     
pred_arabic_12500_exp4_res43.txt        68.50     
pred_arabic_12500_exp4_res63.txt        67.60     
pred_arabic_12500_exp4_res66.txt        68.00     
pred_arabic_12500_exp4_res7.txt         62.20     
pred_arabic_12500_exp4_res72.txt        68.00     
pred_arabic_12500_exp4_res45.txt        69.60     
pred_arabic_12500_exp4_res88.txt        64.80     
pred_arabic_12500_exp4_res49.txt        66.30     
pred_arabic_12500_exp4_res30.txt        51.90     
pred_arabic_12500_exp4_res33.txt        70.70     
pred_arabic_12500_exp4_res42.txt        46.00     
pred_arabic_12500_exp4_res26.txt        67.90     
pred_arabic_12500_exp4_res54.txt        57.60     
pred_arabic_12500_exp4_res11.txt        67.30     
pred_arabic_12500_exp4_res74.txt        58.40     
pred_arabic_12500_exp4_res98.txt        64.10     
pred_arabic_12500_exp4_res70.txt        64.30     
pred_arabic_12500_exp4_res46.txt        43.60     
pred_arabic_12500_exp4_res19.txt        66.00     
pred_arabic_12500_exp4_res86.txt        65.00     
pred_arabic_12500_exp4_res6.txt         58.30     
pred_arabic_12500_exp4_res50.txt        69.60     
pred_arabic_12500_exp4_res78.txt        59.70     
pred_arabic_12500_exp4_res17.txt        67.20     
pred_arabic_12500_exp4_res64.txt        66.60     
pred_arabic_12500_exp4_res96.txt        59.20     
pred_arabic_12500_exp4_res4.txt         64.70     
pred_arabic_12500_exp4_res14.txt        71.20     
pred_arabic_12500_exp4_res59.txt        65.40     
pred_arabic_12500_exp4_res31.txt        57.20     
pred_arabic_12500_exp4_res52.txt        53.30     
pred_arabic_12500_exp4_res75.txt        69.50     
pred_arabic_12500_exp4_res100.txt       63.00     
pred_arabic_12500_exp4_res47.txt        55.90     
pred_arabic_12500_exp4_res51.txt        67.70     
pred_arabic_12500_exp4_res16.txt        68.90     
pred_arabic_12500_exp4_res57.txt        65.40     
pred_arabic_12500_exp4_res87.txt        64.60     
pred_arabic_12500_exp4_res5.txt         66.60     
pred_arabic_12500_exp4_res53.txt        68.80     
arabic_exp4_weighted_voted.txt          81.10     
pred_arabic_12500_exp4_res1.txt         60.10     
pred_arabic_12500_exp4_res65.txt        67.20     
pred_arabic_12500_exp4_res61.txt        69.00     
pred_arabic_12500_exp4_res56.txt        63.30     
pred_arabic_12500_exp4_res18.txt        54.90     
pred_arabic_12500_exp4_res44.txt        55.10     
pred_arabic_12500_exp4_res89.txt        65.20     
pred_arabic_12500_exp4_res85.txt        66.00     
pred_arabic_12500_exp4_res32.txt        59.20     
pred_arabic_12500_exp4_res76.txt        61.00     
pred_arabic_12500_exp4_res2.txt         70.00     
pred_arabic_12500_exp4_res28.txt        63.10     
pred_arabic_12500_exp4_res20.txt        64.50     
pred_arabic_12500_exp4_res37.txt        67.30     
pred_arabic_12500_exp4_res83.txt        69.20     
pred_arabic_12500_exp4_res82.txt        65.20     
arabic_exp4_voted.txt                   80.90     
pred_arabic_12500_exp4_res84.txt        69.50     

Average accuracy of s1-s100 models:     63.72                                   
