All accuracies:

File                                    Accuracy  

pred_khaling_12500_exp4_res94.txt       78.10     
pred_khaling_12500_exp4_res91.txt       80.70     
pred_khaling_12500_exp4_res77.txt       80.60     
pred_khaling_12500_exp4_res47.txt       78.00     
pred_khaling_12500_exp4_res54.txt       79.50     
pred_khaling_12500_exp4_res32.txt       74.60     
pred_khaling_12500_exp4_res8.txt        76.00     
pred_khaling_12500_exp4_res11.txt       72.80     
pred_khaling_12500_exp4_res5.txt        82.90     
pred_khaling_12500_exp4_res83.txt       76.70     
pred_khaling_12500_exp4_res7.txt        77.30     
pred_khaling_12500_exp4_res35.txt       77.10     
pred_khaling_12500_exp4_res1.txt        78.50     
pred_khaling_12500_exp4_res99.txt       71.20     
pred_khaling_12500_exp4_res10.txt       77.40     
pred_khaling_12500_exp4_res50.txt       78.20     
pred_khaling_12500_exp4_res69.txt       80.50     
pred_khaling_12500_exp4_res64.txt       79.30     
pred_khaling_12500_exp4_res79.txt       78.80     
pred_khaling_12500_exp4_res81.txt       76.90     
pred_khaling_12500_exp4_res52.txt       77.90     
pred_khaling_12500_exp4_res2.txt        77.70     
pred_khaling_12500_exp4_res71.txt       77.40     
pred_khaling_12500_exp4_res61.txt       41.90     
pred_khaling_12500_exp4_res96.txt       73.30     
pred_khaling_12500_exp4_res22.txt       72.40     
pred_khaling_12500_exp4_res39.txt       80.30     
pred_khaling_12500_exp4_res19.txt       73.80     
pred_khaling_12500_exp4_res98.txt       74.60     
pred_khaling_12500_exp4_res20.txt       77.00     
pred_khaling_12500_exp4_res97.txt       73.10     
pred_khaling_12500_exp4_res18.txt       71.00     
pred_khaling_12500_exp4_res75.txt       72.10     
pred_khaling_12500_exp4_res24.txt       75.60     
khaling_exp4_voted.txt                  86.90     
pred_khaling_12500_exp4_res93.txt       79.40     
pred_khaling_12500_exp4_res38.txt       77.50     
pred_khaling_12500_exp4_res26.txt       75.90     
pred_khaling_12500_exp4_res74.txt       74.40     
pred_khaling_12500_exp4_res15.txt       78.20     
pred_khaling_12500_exp4_res55.txt       66.20     
pred_khaling_12500_exp4_res65.txt       76.10     
pred_khaling_12500_exp4_res41.txt       75.90     
pred_khaling_12500_exp4_res45.txt       81.90     
pred_khaling_12500_exp4_res100.txt      76.80     
pred_khaling_12500_exp4_res56.txt       78.90     
pred_khaling_12500_exp4_res70.txt       80.20     
pred_khaling_12500_exp4_res66.txt       81.90     
pred_khaling_12500_exp4_res89.txt       78.60     
pred_khaling_12500_exp4_res92.txt       75.80     
pred_khaling_12500_exp4_res31.txt       78.40     
pred_khaling_12500_exp4_res17.txt       76.20     
pred_khaling_12500_exp4_res36.txt       77.80     
pred_khaling_12500_exp4_res67.txt       76.00     
pred_khaling_12500_exp4_res14.txt       77.00     
pred_khaling_12500_exp4_res53.txt       81.30     
pred_khaling_12500_exp4_res80.txt       72.80     
pred_khaling_12500_exp4_res76.txt       77.70     
pred_khaling_12500_exp4_res48.txt       79.40     
pred_khaling_12500_exp4_res95.txt       76.70     
pred_khaling_12500_exp4_res12.txt       81.00     
pred_khaling_12500_exp4_res60.txt       81.50     
pred_khaling_12500_exp4_res51.txt       81.30     
pred_khaling_12500_exp4_res6.txt        78.50     
pred_khaling_12500_exp4_res78.txt       76.00     
pred_khaling_12500_exp4_res88.txt       78.80     
pred_khaling_12500_exp4_res84.txt       75.60     
pred_khaling_12500_exp4_res16.txt       76.00     
pred_khaling_12500_exp4_res87.txt       76.30     
pred_khaling_12500_exp4_res57.txt       76.20     
pred_khaling_12500_exp4_res72.txt       76.60     
pred_khaling_12500_exp4_res49.txt       78.30     
pred_khaling_12500_exp4_res90.txt       78.20     
pred_khaling_12500_exp4_res30.txt       78.70     
pred_khaling_12500_exp4_res27.txt       78.60     
pred_khaling_12500_exp4_res37.txt       78.60     
pred_khaling_12500_exp4_res86.txt       76.60     
pred_khaling_12500_exp4_res23.txt       74.70     
pred_khaling_12500_exp4_res85.txt       73.10     
pred_khaling_12500_exp4_res62.txt       79.70     
pred_khaling_12500_exp4_res9.txt        80.30     
pred_khaling_12500_exp4_res25.txt       80.70     
pred_khaling_12500_exp4_res21.txt       72.90     
pred_khaling_12500_exp4_res82.txt       72.50     
pred_khaling_12500_exp4_res68.txt       79.70     
pred_khaling_12500_exp4_res44.txt       81.50     
pred_khaling_12500_exp4_res29.txt       75.10     
pred_khaling_12500_exp4_res3.txt        47.00     
pred_khaling_12500_exp4_res40.txt       77.80     
pred_khaling_12500_exp4_res42.txt       78.20     
pred_khaling_12500_exp4_res34.txt       79.20     
pred_khaling_12500_exp4_res43.txt       80.00     
pred_khaling_12500_exp4_res63.txt       76.80     
pred_khaling_12500_exp4_res58.txt       79.30     
pred_khaling_12500_exp4_res73.txt       72.60     
pred_khaling_12500_exp4_res59.txt       78.10     
khaling_exp4_weighted_voted.txt         87.10     
pred_khaling_12500_exp4_res4.txt        78.60     
pred_khaling_12500_exp4_res46.txt       74.00     
pred_khaling_12500_exp4_res28.txt       73.90     
pred_khaling_12500_exp4_res13.txt       79.10     
pred_khaling_12500_exp4_res33.txt       52.80     

Average accuracy of s1-s100 models:     76.29                                   
