All accuracies:

File                                    Accuracy  

pred_hindi_12500_exp8_res72.txt         91.90     
pred_hindi_12500_exp8_res6.txt          92.40     
pred_hindi_12500_exp8_res34.txt         92.40     
pred_hindi_12500_exp8_res60.txt         92.80     
pred_hindi_12500_exp8_res75.txt         91.30     
pred_hindi_12500_exp8_res79.txt         91.50     
pred_hindi_12500_exp8_res8.txt          92.90     
pred_hindi_12500_exp8_res86.txt         91.80     
pred_hindi_12500_exp8_res15.txt         92.70     
pred_hindi_12500_exp8_res48.txt         94.40     
pred_hindi_12500_exp8_res76.txt         93.70     
pred_hindi_12500_exp8_res63.txt         90.50     
pred_hindi_12500_exp8_res93.txt         93.70     
pred_hindi_12500_exp8_res7.txt          92.60     
pred_hindi_12500_exp8_res28.txt         88.30     
pred_hindi_12500_exp8_res19.txt         93.10     
pred_hindi_12500_exp8_res10.txt         92.90     
pred_hindi_12500_exp8_res91.txt         94.90     
pred_hindi_12500_exp8_res67.txt         94.50     
pred_hindi_12500_exp8_res13.txt         93.10     
pred_hindi_12500_exp8_res62.txt         95.90     
pred_hindi_12500_exp8_res89.txt         94.20     
pred_hindi_12500_exp8_res33.txt         95.30     
pred_hindi_12500_exp8_res57.txt         94.10     
pred_hindi_12500_exp8_res22.txt         92.30     
pred_hindi_12500_exp8_res50.txt         94.00     
pred_hindi_12500_exp8_res68.txt         91.40     
pred_hindi_12500_exp8_res21.txt         91.70     
pred_hindi_12500_exp8_res23.txt         90.20     
pred_hindi_12500_exp8_res65.txt         92.30     
pred_hindi_12500_exp8_res70.txt         92.20     
pred_hindi_12500_exp8_res43.txt         93.40     
pred_hindi_12500_exp8_res18.txt         90.50     
pred_hindi_12500_exp8_res58.txt         92.20     
pred_hindi_12500_exp8_res83.txt         93.60     
pred_hindi_12500_exp8_res20.txt         91.80     
pred_hindi_12500_exp8_res38.txt         93.20     
pred_hindi_12500_exp8_res69.txt         94.70     
pred_hindi_12500_exp8_res78.txt         89.30     
pred_hindi_12500_exp8_res56.txt         90.50     
pred_hindi_12500_exp8_res100.txt        91.90     
pred_hindi_12500_exp8_res88.txt         94.80     
pred_hindi_12500_exp8_res64.txt         92.00     
pred_hindi_12500_exp8_res36.txt         90.90     
pred_hindi_12500_exp8_res1.txt          95.50     
pred_hindi_12500_exp8_res46.txt         92.10     
pred_hindi_12500_exp8_res51.txt         93.00     
pred_hindi_12500_exp8_res12.txt         95.40     
pred_hindi_12500_exp8_res81.txt         94.10     
pred_hindi_12500_exp8_res73.txt         92.80     
pred_hindi_12500_exp8_res45.txt         93.50     
pred_hindi_12500_exp8_res85.txt         94.60     
pred_hindi_12500_exp8_res25.txt         91.90     
pred_hindi_12500_exp8_res55.txt         92.30     
pred_hindi_12500_exp8_res84.txt         93.90     
pred_hindi_12500_exp8_res59.txt         93.30     
pred_hindi_12500_exp8_res26.txt         94.50     
pred_hindi_12500_exp8_res92.txt         94.30     
pred_hindi_12500_exp8_res61.txt         89.80     
pred_hindi_12500_exp8_res5.txt          88.60     
pred_hindi_12500_exp8_res4.txt          86.50     
pred_hindi_12500_exp8_res39.txt         87.30     
pred_hindi_12500_exp8_res27.txt         92.30     
pred_hindi_12500_exp8_res98.txt         88.90     
pred_hindi_12500_exp8_res71.txt         93.60     
pred_hindi_12500_exp8_res94.txt         91.80     
pred_hindi_12500_exp8_res77.txt         92.20     
pred_hindi_12500_exp8_res41.txt         93.20     
pred_hindi_12500_exp8_res96.txt         92.50     
pred_hindi_12500_exp8_res47.txt         94.30     
pred_hindi_12500_exp8_res35.txt         88.30     
pred_hindi_12500_exp8_res74.txt         92.00     
pred_hindi_12500_exp8_res49.txt         94.60     
pred_hindi_12500_exp8_res32.txt         94.00     
pred_hindi_12500_exp8_res44.txt         91.80     
pred_hindi_12500_exp8_res29.txt         94.00     
pred_hindi_12500_exp8_res31.txt         93.80     
pred_hindi_12500_exp8_res82.txt         92.00     
pred_hindi_12500_exp8_res9.txt          95.10     
pred_hindi_12500_exp8_res17.txt         96.30     
pred_hindi_12500_exp8_res3.txt          94.60     
pred_hindi_12500_exp8_res54.txt         93.40     
pred_hindi_12500_exp8_res37.txt         91.20     
hindi_exp8_weighted_voted.txt           97.40     
pred_hindi_12500_exp8_res16.txt         92.00     
pred_hindi_12500_exp8_res42.txt         94.20     
pred_hindi_12500_exp8_res53.txt         93.80     
pred_hindi_12500_exp8_res99.txt         92.10     
pred_hindi_12500_exp8_res40.txt         92.70     
pred_hindi_12500_exp8_res24.txt         93.10     
pred_hindi_12500_exp8_res87.txt         95.80     
pred_hindi_12500_exp8_res52.txt         93.00     
hindi_exp8_voted.txt                    97.40     
pred_hindi_12500_exp8_res97.txt         91.70     
pred_hindi_12500_exp8_res11.txt         93.90     
pred_hindi_12500_exp8_res66.txt         95.20     
pred_hindi_12500_exp8_res80.txt         90.90     
pred_hindi_12500_exp8_res90.txt         90.20     
pred_hindi_12500_exp8_res2.txt          93.40     
pred_hindi_12500_exp8_res14.txt         94.10     
pred_hindi_12500_exp8_res30.txt         95.70     
pred_hindi_12500_exp8_res95.txt         92.40     

Average accuracy of s1-s100 models:     92.71                                   
