All accuracies:

File                                    Accuracy  

pred_navajo_12500_exp8_res62.txt        30.60     
pred_navajo_12500_exp8_res82.txt        34.10     
pred_navajo_12500_exp8_res34.txt        32.50     
pred_navajo_12500_exp8_res45.txt        31.80     
pred_navajo_12500_exp8_res19.txt        21.80     
pred_navajo_12500_exp8_res56.txt        27.40     
pred_navajo_12500_exp8_res69.txt        32.90     
pred_navajo_12500_exp8_res65.txt        28.20     
pred_navajo_12500_exp8_res54.txt        32.10     
pred_navajo_12500_exp8_res16.txt        33.20     
pred_navajo_12500_exp8_res32.txt        30.10     
navajo_exp8_voted.txt                   48.70     
pred_navajo_12500_exp8_res39.txt        33.80     
pred_navajo_12500_exp8_res99.txt        28.80     
pred_navajo_12500_exp8_res49.txt        23.10     
pred_navajo_12500_exp8_res59.txt        31.80     
pred_navajo_12500_exp8_res14.txt        22.40     
pred_navajo_12500_exp8_res63.txt        27.20     
pred_navajo_12500_exp8_res15.txt        31.00     
pred_navajo_12500_exp8_res94.txt        29.00     
pred_navajo_12500_exp8_res93.txt        31.60     
pred_navajo_12500_exp8_res29.txt        32.90     
pred_navajo_12500_exp8_res37.txt        32.70     
pred_navajo_12500_exp8_res21.txt        31.70     
pred_navajo_12500_exp8_res4.txt         33.50     
pred_navajo_12500_exp8_res95.txt        34.20     
pred_navajo_12500_exp8_res26.txt        32.20     
pred_navajo_12500_exp8_res55.txt        28.50     
pred_navajo_12500_exp8_res25.txt        34.10     
pred_navajo_12500_exp8_res30.txt        30.80     
pred_navajo_12500_exp8_res6.txt         30.20     
pred_navajo_12500_exp8_res66.txt        32.50     
pred_navajo_12500_exp8_res87.txt        32.10     
pred_navajo_12500_exp8_res17.txt        29.30     
pred_navajo_12500_exp8_res31.txt        32.60     
pred_navajo_12500_exp8_res89.txt        30.70     
pred_navajo_12500_exp8_res97.txt        33.10     
pred_navajo_12500_exp8_res84.txt        34.80     
pred_navajo_12500_exp8_res74.txt        36.80     
pred_navajo_12500_exp8_res27.txt        23.20     
pred_navajo_12500_exp8_res64.txt        29.70     
pred_navajo_12500_exp8_res33.txt        35.40     
pred_navajo_12500_exp8_res68.txt        32.10     
pred_navajo_12500_exp8_res73.txt        28.60     
pred_navajo_12500_exp8_res47.txt        31.30     
pred_navajo_12500_exp8_res60.txt        34.60     
pred_navajo_12500_exp8_res92.txt        30.00     
pred_navajo_12500_exp8_res67.txt        32.60     
pred_navajo_12500_exp8_res80.txt        33.20     
pred_navajo_12500_exp8_res35.txt        33.40     
pred_navajo_12500_exp8_res88.txt        34.20     
pred_navajo_12500_exp8_res11.txt        31.60     
pred_navajo_12500_exp8_res28.txt        33.20     
pred_navajo_12500_exp8_res71.txt        20.80     
pred_navajo_12500_exp8_res3.txt         30.60     
pred_navajo_12500_exp8_res20.txt        29.40     
pred_navajo_12500_exp8_res52.txt        29.00     
pred_navajo_12500_exp8_res98.txt        29.90     
pred_navajo_12500_exp8_res79.txt        23.40     
pred_navajo_12500_exp8_res10.txt        23.20     
pred_navajo_12500_exp8_res44.txt        29.90     
pred_navajo_12500_exp8_res8.txt         30.30     
pred_navajo_12500_exp8_res91.txt        30.50     
pred_navajo_12500_exp8_res9.txt         29.30     
pred_navajo_12500_exp8_res22.txt        31.60     
pred_navajo_12500_exp8_res75.txt        30.20     
pred_navajo_12500_exp8_res41.txt        32.30     
pred_navajo_12500_exp8_res23.txt        26.70     
pred_navajo_12500_exp8_res12.txt        32.80     
pred_navajo_12500_exp8_res42.txt        31.40     
pred_navajo_12500_exp8_res46.txt        32.20     
pred_navajo_12500_exp8_res72.txt        33.50     
pred_navajo_12500_exp8_res43.txt        26.00     
pred_navajo_12500_exp8_res13.txt        32.70     
pred_navajo_12500_exp8_res2.txt         32.60     
pred_navajo_12500_exp8_res18.txt        31.90     
pred_navajo_12500_exp8_res81.txt        33.60     
pred_navajo_12500_exp8_res76.txt        32.40     
pred_navajo_12500_exp8_res86.txt        25.60     
pred_navajo_12500_exp8_res96.txt        32.60     
pred_navajo_12500_exp8_res50.txt        32.40     
pred_navajo_12500_exp8_res7.txt         34.80     
pred_navajo_12500_exp8_res40.txt        33.60     
pred_navajo_12500_exp8_res61.txt        31.50     
pred_navajo_12500_exp8_res48.txt        28.60     
pred_navajo_12500_exp8_res5.txt         33.70     
pred_navajo_12500_exp8_res83.txt        32.50     
pred_navajo_12500_exp8_res70.txt        32.20     
pred_navajo_12500_exp8_res85.txt        32.60     
pred_navajo_12500_exp8_res58.txt        31.60     
pred_navajo_12500_exp8_res78.txt        30.50     
pred_navajo_12500_exp8_res100.txt       32.10     
pred_navajo_12500_exp8_res24.txt        32.80     
navajo_exp8_weighted_voted.txt          48.60     
pred_navajo_12500_exp8_res77.txt        32.80     
pred_navajo_12500_exp8_res51.txt        31.50     
pred_navajo_12500_exp8_res1.txt         31.10     
pred_navajo_12500_exp8_res90.txt        34.50     
pred_navajo_12500_exp8_res36.txt        27.90     
pred_navajo_12500_exp8_res57.txt        32.60     
pred_navajo_12500_exp8_res38.txt        32.30     
pred_navajo_12500_exp8_res53.txt        33.40     

Average accuracy of s1-s100 models:     30.99                                   
